,original,corrected,native
513,"I am freelance artist living in Milan. Open to any races, religions, genders, orientations. I love spend my time with artists and easygoing open minded people as me. I love travels, make new friends, see new places, go to exhibitons and drinks.","I am a freelance artist living in Milan. Open to any races, religions, genders, orientations. I love spending my time with artists and easygoing open-minded people like me. I love traveling, making new friends, seeing new places, going to exhibitions, and drinks.",Italian
514,"I'm trying to improve some languages. I'm interested in science, in particular genetics and microbiology. If you want, I can teach you some Italian.","I'm trying to improve some languages. I'm interested in science, in particular genetics and microbiology. If you want, I can teach you some Italian.",Italian
515,"I live in Rome, and I would like to improve my English. I am available for language exchange with those who want to improve in the spoken and written Italian language.","I live in Rome, and I would like to improve my English. I am available for language exchange with those who want to improve in the spoken and written Italian language.",Italian
516,"I'm 19 and I'm a fireworks show designer in my free time. I'm a foreign languages and literatures student at the University: I study english and spanish, and I would like learn something about filipino and chinese language and culture. Feel free to chat me! I'll reply as soon as possible. Thank you for your interest!","I'm 19, and I'm a fireworks show designer in my free time. I'm a foreign languages and literatures student at the University. I study English and spanish, and I would like to learn something about Filipino and Chinese language and culture. Feel free to chat me! I'll reply as soon as possible. Thank you for your interest!",Italian
517,I’m David from Italy and two of my main passion are travel ( alone) and learn different language for make all easier. I have to speak English every day for my work and for this reason I would like to practice every day more. My second favourite language is português ( Brazilian version) because I lived between Brasíl and Italy almost 3 years and for this reason I would like don’t stop to speak,"I'm David from Italy, and two of my main passions are traveling (alone) and learning different languages to make it easier. I have to speak English every day for my work, and for this reason, I would like to practice every day more. My second favorite language is português (Brazilian version) because I lived between Brasl and Italy for almost 3 years, and for this reason, I would like to don't stop to speak.",Italian
518,"I'd like to have some nice language and cultural exchanges especially in english, spanish, french, german and portuguese... See you soon ;-)","I'd like to have some nice language and cultural exchanges, especially in English, Spanish, French, German, and Portuguese... See you soon ;-)",Italian
519,I want to practice my english.,I want to practice my English.,Italian
520,"I'm Italian living in Tuscany, interested in practicing conversational English. I would be happy to help anyone who would like to learn and pratice Italian, and to know more about Italian culture too. Looking forward to hear from you!","I'm Italian living in Tuscany, interested in practicing conversational English. I would be happy to help anyone who would like to learn and practice Italian and to know more about Italian culture too. Looking forward to hearing from you!",Italian
521,I am looking for a chat in English to involve me myself and my son to improve our language skills in English language,I am looking for a chat in English to involve me and my son to improve our language skills in the English language.,Italian
522,"Hey! My mother tongue is Spanish and I also speak Italian very well, since I've been living in Italy for 5 years. Right now I'm learning French, and I would like to practice the French speaking with someone else, specially in a face to face way.","Hey! My mother tongue is Spanish, and I also speak Italian very well since I've been living in Italy for 5 years. Right now, I'm learning French, and I would like to practice speaking French with someone else, especially in a face to face way.",Spanish<br/>Italian
523,"Hi everybody, I am here to improve my English and to help someone that loves Italian improve their skills. I love traveling, reading, going to the cinema, and listening to vinyl","Hi everybody, I am here to improve my English and to help someone that loves Italian improve their skills. I love traveling, reading, going to the cinema, and listening to vinyl.",Italian
524,I'm Italian but at the moment I living in Davis for studying and practicing my English.,"I'm Italian, but at the moment, I live in Davis to study and practice my English.",Italian
525,I can help with italian at all level. My goal is to improve my english vocabulary and use in a real fluent conversation. I started to learn japanese but I'm at the very beginning.,"I can help with Italian at all levels. My goal is to improve my English vocabulary and use it in a real fluent conversation. I started to learn Japanese, but I'm at the very beginning.",Italian
526,"Hi everyone, I'm italian (and neapolitan) native speaker and I lived 8 months in Brazil. I would like to meet new people to practice the languages that I learned (english spanish, portuguese and french).","Hi everyone, I'm an Italian (and Neapolitan) native speaker, and I lived for 8 months in Brazil. I would like to meet new people to practice the languages that I learned (english, spanish, portuguese, and french).",Italian
527,I am a surveyor and I want to learn english for my job and why attracted by north european culture and anglo-saxon.,"I am a surveyor, and I want to learn English for my job and why am I attracted to north European culture and Anglo-saxon.",Italian
528,"I'm Carlotta, actually living in Barcelona but I'm from Italy. I'd like to practice my English,french and brazilian portoguese, if anyone is interested to pratice Italian or Spanish.. Don't hesitate to send me a dm :)","I'm Carlotta, actually living in Barcelona, but I'm from Italy. I'd like to practice my English, French, and Brazilian Portuguese if anyone is interested in practicing Italian or Spanish.. Don't hesitate to send me a dm :)",Spanish<br/>Italian
529,Want to improve my english and help the other people with the italian,I want to improve my English and help other people with the Italian language.,Italian
530,"Hi everyone, I’m Margherita, I’m from a beautiful city called Parma. I’m here to find people who can help me to improve my fluency in English and give me some advice about business English and English for job interviews. I’m avaiable every day early in the morning (6am- 7.30am) and in the evening (7.30pm-22.30pm)… we can improve my English and your Italian togheter
I’m looking forward to hear from you???","Hi everyone, I'm Margherita, I'm from a beautiful city called Parma. I'm here to find people who can help me to improve my fluency in English and give me some advice about business English and English for job interviews. I'm available every day early in the morning (6am- 7.30am) and in the evening (7.30pm-22.30pm)... we can improve my English and your Italian tongue. I'm looking forward to hearing from you???",Italian
531,I would like to improve my English and I could help with Italian language. Only females please.,"I would like to improve my English, and I could help with the Italian language. Only females, please.",Italian
532,I hope to improve english and french and help somebody learning Italian &amp,I hope to improve my English and French and help somebody learn Italian &amp;,Spanish<br/>Italian
533,"Hi there, I am a 39 years old teacher and I live in Rome. I would like to improve my English comprehension skills with a native English speaker, British would be better. so if you are interested in learning Italian, please contact me!!","Hi there, I am a 39-year-old teacher, and I live in Rome. I would like to improve my English comprehension skills with a native English speaker; British would be better. so if you are interested in learning Italian, please contact me!!",Italian
534,I'd like to meet people all over the world for to support each other learning languages.,I'd like to meet people all over the world to support each other in learning languages.,Spanish<br/>Italian
535,"I'd like to exchange with English speaking people in order to improve my language skills. I speak Italian, French and Spanish. I'm a optimistic, open minded and dynamics guy. I love sport, music, travelling et I'm very interested about cultures in general.","I'd like to exchange with English speaking people in order to improve my language skills. I speak Italian, French, and Spanish. I'm an optimistic, open-minded, and dynamic guy. I love sport, music, traveling, and I'm very interested in cultures in general.",Italian
536,"I'm a certified nutritionist, yoga lover and passionate hiker, eager to improve my conversation skills in English in order to face job interviews. In exchange i'd be more than happy to help you with italian language and its culture. I consider myslef a positive person: I always look on the bright side no matter what obstacles i have to face! I'm looking for english native speakers, girls only:-)","I'm a certified nutritionist, yoga lover, and passionate hiker, eager to improve my conversation skills in English in order to face job interviews. In exchange, I'd be more than happy to help you with the Italian language and its culture. I consider myself a positive person: I always look on the bright side no matter what obstacles I have to face! I'm looking for native English speakers, girls only-:-)",Italian
537,"Hello All,
I m looking for a nice person (native english speaker ) to improve my English. I can help you to learn Italian :-) Feel free to contact me","Hello, I m looking for a nice person (native English speaker) to improve my English. I can help you to learn Italian.-) Feel free to contact me.",Italian
538,"I'm looking for someone who can help me improving my English (American English), and eventually answer some (even stupid) questions about life and stuff in the US. I can - of course - help with Italian and also answer to questions and doubts.",I'm looking for someone who can help me improve my English (American English) and eventually answer some (even stupid) questions about life and stuff in the US. I can - of course - help with Italian and also answer questions and doubts.,Italian
539,"I live in Arezzo a small town in Tuscany that is famous for being the set of the oscar winning film ""La vita è bella"" of Benigni. I love my city and i want to sponsoring it, also I can help you to learn Italian I learned english at school and now i want to do practice with other people
I am here to know different culture and making new frineds. I like travel, sport (football that i also play), manga, reading (fantasy and sci-fi) and film.","I live in Arezzo, a small town in Tuscany that is famous for being the setting for the Oscar-winning film ""La vita è bella"" by Benigni. I learned English at school, and now I want to do practice with other people. I am here to know different cultures and make new friends. I like travel, sport (football that I also play), manga, reading (fantasy and sci-fi), and film.",Italian
540,"I've always enjoyed improving my English in my spare time, since when as a teen I struggled to transalate songs lyrics. Now I watch Netflix tv shows in their original language with English subs and I understand 80/90% of conversation depending on accents, slangs and speed, but i've realized that I really need to practice my speaking skills because i never have the chance to in my daily life. I also think that helping a native English speaker learning Italian would be real fun.","I've always enjoyed improving my English in my spare time, since when as a teen I struggled to translate songs lyrics. Now I watch Netflix tv shows in their original language with English subtitles, and I understand 80/90% of conversation depending on accents, slang, and speed, but I've realized that I really need to practice my speaking skills because I never have the chance to in my daily life. I also think that helping a native English speaker learn Italian would be real fun.",Italian
541,"I'd like to imorove my English. I""m to shy and I have difficult to talk.","I'd like to improve my English. I'm too shy, and I have a difficult time talking.",Italian
542,Hi I'm learning Spanish and English and I'd like to improve both languages. I can help with Italian of course,"Hi, I'm learning Spanish and English, and I'd like to improve both languages. I can help with Italian, of course.",Italian
543,I'll be nice to help you with Italian!,I'll be nice to help you with Italian!,Italian
544,"I'm italian from Milan, i love cooking, the thing that i love Better in absolute.","I'm Italian from Milan. I love cooking, the thing that I love better in absolute.",Italian
545,"Hi all, I am Paolo from Italy. I would like to improve my English skills, especially speaking and listening skills. I can help you to learn Italian. I like travelling and know new cultures.","Hi all, I am Paolo from Italy. I would like to improve my English skills, especially speaking and listening skills. I can help you to learn Italian. I like traveling and knowing new cultures.",Italian
546,"I'd like to improve my English (I should be a B2) so, if you want to arrange some calls, feel free to contact me!","I'd like to improve my English (I should be a B2) so, if you want to arrange some calls, feel free to contact me!",Italian
547,"I learned English, French and German at school, but I want to practise them more and improve my level in each of them with native speakers. I' ll be glad to offer my Italian and talk about films, literature, music, grammar or linguistic expressions! It'll be fun!","I learned English, French, and German at school, but I want to practice them more and improve my level in each of them with native speakers. I'll be glad to offer my Italian and talk about films, literature, music, grammar, or linguistic expressions! It'll be fun!",Italian
548,I like to improve my English and I would like to help you with your Italian as well,"I would like to improve my English, and I would like to help you with your Italian as well.",Italian
549,"I like travellers, read and know people to improve my English. If you want speak Italian language, contact me.","I like travelers, read, and know people to improve my English. If you want to speak Italian, contact me.",Italian
550,"I'm an italian Management Engineer, I'm 22 and i want to improve my English","I'm an Italian Management Engineer. I'm 22 years old, and I want to improve my English.",Italian
551,"Hi, I am an italian boy that want to practice English! I love travelling, I have been to Ireland for an english course and to Belgium in order to do a traineeship. I can teach you Italian as well and also some tips for your italian dishes and recipes since I am keen on cooking.","Hi, I am an Italian boy that wants to practice English! I love traveling. I have been to Ireland for an English course and to Belgium in order to do a traineeship. I can teach you Italian as well and also some tips for your Italian dishes and recipes since I am keen on cooking.",Italian
552,"I like to talk about various topics: sports, school, emotions, personal life or current events. I would love to befriend an English person. I promise to be a nice and sweet guy (when I want). I `m happy to know you!","I like to talk about various topics: sports, school, emotions, personal life, or current events. I would love to befriend an English person. I promise to be a nice and sweet guy (when I want). I m happy to know you!",Italian
553,"I would like to learn English, possibly by exploring Amsterdam. I can teach Italian and cook Italian (even two together).","I would like to learn English, possibly by exploring Amsterdam. I can teach Italian and cook Italian (even two Italians together).",Italian
554,I’m an Italian girl and I’m looking for some USA guys to talk with to improve my American English!,"I'm an Italian girl, and I'm looking for some US guys to talk with to improve my American English!",Italian
555,"Hi, I'm Italian native speaker and I would like to improve my English Language skills.","Hi, I'm a native Italian speaker, and I would like to improve my English language skills.",Italian
556,"Hi, I'm an Italian girl who wanna improve my English level, we can talk about music, art, movie, news and everything else!","Hi, I'm an Italian girl who wanna improve my English. We can talk about music, art, movies, news, and everything else!",Italian
557,"I'm looking for new friends with whom I'd like to practise english. I am italian and I could offer conversations in italian as well, if you'd like to learn/improve it!. I would also love to connect with people from around the world!","I'm looking for new friends with whom I'd like to practice English. I am Italian, and I could offer conversations in Italian as well, if you'd like to learn/improve it! I would also love to connect with people from around the world!",Italian
558,i’m an italian person and i want make new friends from other part of the world and i’d like to practic my english,"I'm an Italian person, and I want to make new friends from other parts of the world, and I'd like to practice my English.",Italian
559,I'm an Italian Girl who wants to practice her English and German. Send me a message if you want to improve your Italian. Hope to hear you soon,I'm an Italian Girl who wants to practice her English and German. Send me a message if you want to improve your Italian. I hope to hear from you soon.,Italian
560,"I'm Italian and I want practise english because i want go abroad for work. I can help you with the italian language. If you want talk with me, you send me a message.","I'm Italian, and I want to practice English because I want to go abroad for work. I can help you with the Italian language. If you want to talk with me, please send me a message.",Italian
561,I want to improve my english/spanish vocabulary and also meet cute funny people :),"I want to improve my English/Spanish vocabulary and also meet cute, funny people :)",Italian
562,Hi there! I would love to improve my English. Anyone from the UK over there? In exchange I can teach you Italian.,"Hi there! I would love to improve my English. Anyone from the UK over there? In exchange, I can teach you Italian.",Italian
563,I'd like to improve my English because I'm fascinated by history and culture of countries! I can help with Italian in return! Don’t hesitate to message me!,I'd like to improve my English because I'm fascinated by the history and culture of countries! I can help with Italian in return! Don't hesitate to message me!,Italian
564,"Hi, I'm 22 and I'm from Rome, Italy. I work as a programmer for an Italian company, but i'm also studying Computer Science at the university. Since in my job and my studies, English is the prevalent language, I would like to improve it.","Hi, I'm 22 and I'm from Rome, Italy. I work as a programmer for an Italian company, but I'm also studying Computer Science at the university. Since in my job and in my studies, English is the predominant language, I would like to improve it.",Italian
565,"I'm Stefania, I'm from Italy. I'm waiting for your message :) Have a good day!","I'm Stefania, I'm from Italy. I'm waiting for your message :) Have a good day!",Italian
566,"hi i’m diana and i’m 12. i’m an italian girl and i’m looking for a penpal if you’ve my age write me please, byee","Hi, I'm Diana, and I'm 12. I'm an Italian girl, and I'm looking for a penpal. If you're my age, write me please. Byee",Italian
567,"I'm Vito from Italy. I'm looking someone for talk about deep topics. Learning but also exchange our thought. My dream is find someone love Reading, we could find a good book and read together (Italian or English book is the same).",I'm Vito from Italy. I'm looking for someone to talk about deep topics. Learning but also exchange our thoughts. My dream is to find someone who loves Reading; we could find a good book and read together (Italian or English books are the same).,Italian
568,"I am studying English for job, sometimes i travel around the world and to help my business i need to improve my spoken English, the pronunciation and the active vocabulary. I love to play tennis, reading and watching TV series.","I am studying English for a job, sometimes I travel around the world, and to help my business, I need to improve my spoken English, the pronunciation, and the active vocabulary. I love to play tennis, reading, and watching TV series.",Italian
569,i would like to speak better my English because my son lives in England and his girlfriend is English and I want to visit them and speak fluently,"I would like to speak better my English because my son lives in England and his girlfriend is English, and I want to visit them and speak English fluently.",Italian
570,"I would like to practice my english and more, i would like to learn portugues",I would like to practice my English and more; I would like to learn Portuguese.,Italian
571,"Hi everyone,
I'm Veronica, I'm an italian girl, age 34, based in Milan, North of Italy. I speak italian, of course, and I'd like to practice mainly english and spanish because I need to improve my skills for work, but I'd also like to practice french, because I learnt it at school, I like it and I don't want to lose it at all! So, if you like to have a conversation with me: just ask! I have many interests, I love to know stuff about other people and countries and I'd love to tell you so!","Hi everyone, I'm Veronica. I'm an Italian girl, age 34, based in Milan, North of Italy. I speak Italian, of course, and I'd like to practice mainly English and Spanish because I need to improve my skills for work, but I'd also like to practice French because I learnt it at school, I like it, and I don't want to lose it at all! So, if you would like to have a conversation with me, just ask! I have many interests. I love to know stuff about other people and countries, and I'd love to tell you so!",Italian
572,"hi, I'm Dario,and I need to emprove my english, spanish and french. I will be happy to help you with Italian","Hi, I'm Dario, and I need to improve my English, spanish, and French. I will be happy to help you with Italian.",Italian
573,I'm looking fir a US native speaker in order to imporve my conversation skills,I'm looking for a native US speaker in order to improve my conversation skills.,Italian
574,"My English is not so bad, but I would like to improve it, practicing my writing, reading, speaking and listening skills.","My English is not so bad, but I would like to improve it, practicing my writing, reading, speaking, and listening skills.",Italian
575,I want to improve my english skill by talking with people.,I want to improve my English skills by talking with people.,Italian
576,"Hi, I’m Giulia, I’m 22 and I come from Italy. I would like to improve my English, especially in the speaking part, so I am looking for someone to talk with. :) In exchange I would love to help you learn Italian!","Hi, I'm Giulia, I'm 22 years old, and I come from Italy. I would like to improve my English, especially in the speaking part, so I am looking for someone to talk with. :) In exchange, I would love to help you learn Italian!",Italian
577,"I'm an italian native speaker and I'd like to improve my english, my spanish and my french.","I'm an Italian native speaker, and I'd like to improve my English, my spanish, and my French.",Italian
578,"I'm a librarian, I work for the Municipality of Milan. I would line to improve my English, to buy better english books for our libraries.","I'm a librarian; I work for the Municipality of Milan. I would like to improve my English, to buy better English books for our libraries.",Italian
579,Italian journalist retiree living in Miami Till December 2019. Not an Italian teacher but I worked all the time writing in Italian for weekly and monthly magazines. I don't care about black or white people. There is only a race: the human race. I'd like to chat only with English (American or British) native speakers.,"Italian journalist retiree living in Miami till December 2019. Not an Italian teacher, but I worked all the time writing in Italian for weekly and monthly magazines. I don't care about black or white people. There is only a race for the human race. I'd like to chat only with English (American or British) native speakers.",Italian
580,"I would like to have some practice in english language with conversation and writing corrispondence. I have recently completed the Babbel course and I would like to valuate my skill. I am an italian lawyer; fourthy years old; interested on history, art and travels.","I would like to have some practice in the English language with conversation and writing comprehension. I have recently completed the Babbel course, and I would like to evaluate my skill. I am an Italian lawyer; forty years old; interested in history, art, and travels.",Italian
581,I am Giacomo a 31 years old Italian guy. I would like to make new friends to improve my english and in return I can help with your italian.,"I am Giacomo, a 31-year-old Italian guy. I would like to make new friends to improve my English, and in return, I can help with your Italian.",Italian
582,"I'm italian, living in Rome now but I have lived in Spain many years, working in the field of cultural heritage and tourism (despite I'm an architect), so I'm used and I really like to meet and talk with people from different cultures and languages. I'm italian mother tongue but I also speak Spanish very well, as a native (I got the DELE diploma, level C2), so I can help with both languages. I mainly need to improve my English but I always enjoy speaking Spanish to keep it always at a high level","I'm Italian, living in Rome now, but I have lived in Spain for many years, working in the field of cultural heritage and tourism (despite I'm an architect), so I'm used to and I really like to meet and talk with people from different cultures and languages. I'm Italian mother tongue, but I also speak Spanish very well, as a native (I got the DELE diploma, level C2), so I can help with both languages. I mainly need to improve my English, but I always enjoy speaking Spanish to keep it always at a high level.",Italian
583,"Hi, i've no clue of what life is about so i distract myself by learning new things","Hi, I've no idea what life is about, so I distract myself by learning new things.",Italian
584,"I would like to improve my english speaking and listening, talking with people who have any interest","I would like to improve my English speaking and listening skills, talking with people who have any interest.",Italian
585,I'm a graduated student why wants to improve the use of foreign languages,I'm a graduate student who wants to improve the use of foreign languages.,Italian
586,"I'm a native Italian speaker who study engineering at university. I would like to imporve and be fluent in English to travel around the world. In exchange, I am happy to help you with your Italian. Moreover, I love hiking, playing sports (athletic, soccer), reading and travelling.","I'm a native Italian speaker who studies engineering at university. I would like to improve and be fluent in English to travel around the world. In exchange, I am happy to help you with your Italian. Moreover, I love hiking, playing sports (athletic, soccer), reading, and traveling.",Italian
587,"Hello to everybody. I need to improve my English, so I'm looking for someone who can give me the opportunity to do that. In return I can help you doing practice with Italian.","Hello, everybody. I need to improve my English, so I'm looking for someone who can give me the opportunity to do that. In return, I can help you with Italian practice.",Italian
588,"I like speaking in English and trying to improve. I'm a corporate trainer and I like listening stories. I can reciprocate with an excellent Italian. As a certified facilitator in the LEGO® SERIOUS PLAY® methodology, if you like, I can offer you free session to develop a plan or a personal or professional issues you care about. Let me know","I like speaking in English and trying to improve. I'm a corporate trainer, and I like hearing stories. I can reciprocate with an excellent Italian. As a certified facilitator in the LEGO® SERIOUS PLAY® methodology, if you like, I can offer you a free session to develop a plan or personal or professional issues you care about. Let me know.",Italian
589,"I would like to improve my english skills, and in exchange I can help you in italian.","I would like to improve my English skills, and in exchange, I can help you with Italian.",Italian
590,I want to improve my english speaking.I. I need it for my work and my travels. I offer to teach or to practise italian I would like to meet graduate people with cultural interests and over fifty.,I want to improve my English speaking. I need it for my work and my travels. I offer to teach or to practice Italian. I would like to meet graduate people with cultural interests and over fifty.,Italian
591,I would like to improve my English and Spanish,I would like to improve my English and Spanish.,Italian
592,Hi I am Dan i am 19 years old and i'm from Bologna in Italy. I would like to speak with other people in english. I will be able to teach also Italian (my mother tongue).,"Hi, I am Dan. I am 19 years old, and I'm from Bologna in Italy. I would like to speak with other people in English. I will also be able to teach Italian (my mother tongue).",Italian
593,"I would like to improve my English so I will be free to follow my passions and curiosity everywhere around the world! I'm a certified italian teacher for foreigners and I'm fluent in Russian, so I could help you to improve your Italian and/or Russian.","I would like to improve my English, so I will be free to follow my passions and curiosity everywhere around the world! I'm a certified Italian teacher for foreigners, and I'm fluent in Russian, so I could help you to improve your Italian and/or Russian.",Italian
594,I would like to practice my English and I am Italian native speaker!,"I would like to practice my English, and I am an Italian native speaker!",Italian
595,I would like improve my english in exchange for my italian.,I would like to improve my English in exchange for my Italian.,Italian
596,"I'm a native Italian speaker and I'm trying to improve my English. I would like to find someone to exchange dialogues and get to know better these two fantastic languages. I'm only looking for people who are really interested, I'm ready and you?","I'm a native Italian speaker, and I'm trying to improve my English. I would like to find someone to exchange dialogues and get to know these two fantastic languages better. I'm only looking for people who are really interested. I'm ready, and you?",Italian
597,I’ve been learning english for a few years and I’ve practiced it enough with grammar. In this period I’d like to speak to someone to improve my spoken language since I’ve only experienced during english lessons or when i’ve been on holiday.,"I’ve been learning English for a few years, and I've practiced it enough with grammar. In this period, I'd like to speak to someone to improve my spoken language since I've only experienced it during English lessons or when I've been on holiday.",Italian
598,I can help you with your Italian in return.,I can help you with your Italian in return.,Italian
599,"I'm 22 and currently I'm a graduate student in Milan (I'm studying economics). I want to improve my English both to attend a master program abroad next year and to apply for an internship in my next future. I'm very into music, tv series and getting to know my peers!","I'm 22 and currently I'm a graduate student in Milan (I'm studying economics). I want to improve my English both to attend a master's program abroad next year and to apply for an internship in my next future. I'm very into music, TV series, and getting to know my peers!",Italian
600,I'm looking for English speakers to improve my English!,I'm looking for English speakers to improve my English!,Italian
601,I would like improve my English,I would like to improve my English.,Italian
602,I would like to practice some English. If you need any help with Italian I would be happy to help u!,"I would like to practice some English. If you need any help with Italian, I would be happy to help you!",Italian
603,I'd like to know friends to learn or practice other languages.,I'd like to make friends to learn or practice other languages.,Italian
604,I'm looking for someone to practice Italian with in exchange for German or English.,I'm looking for someone to practice Italian with in exchange for German or English.,Italian
605,"I’d like to improve my english, in exchange i can help you with italian. Feel free to contact me if you are interested in helping each other and start a conversation.","I’d like to improve my English, and in exchange, I can help you with Italian. Feel free to contact me if you are interested in helping each other and starting a conversation.",Italian
606,I would like to improve my English speaking cause I m working in London.,I would like to improve my English speaking because I'm working in London.,Italian
607,"Hi guys,I want to improve my english and german and meet people who can help me to achieve my goals. I'm a sunny and funny person..I'd like to make new friends on this conversation platform and,why not,learn other languages!","Hi guys, I want to improve my English and German and meet people who can help me to achieve my goals. I'm a sunny and funny person..I'd like to make new friends on this conversation platform and, why not, learn other languages!",Italian
608,"I am an Italian girl, in the past I spoke English quite often at work, now I would like to speak it again and to became more fluent. I'm interesting ONLY in the conversation improving no other purposes!!!","I am an Italian girl; in the past, I spoke English quite often at work; now I would like to speak it again and become more fluent. I'm interesting only in the conversation, improving no other purposes!!!",Italian
609,"Hi, I' m Angelo and I live in Rome. I work in the field of cinema. I would like to improve my English and to continue to practice my French with some intresting people. Thanks.","Hi, I'm Angelo, and I live in Rome. I work in the field of cinema. I would like to improve my English and to continue to practice my French with some interesting people. Thanks.",Italian
610,"I travel often for work and for pleasure, so I 'm strongly motivated to practice my english and spanish and improving my beginner french, portuguese and russian. My favourite readings are on other Coutries traditions, cultures, languages. I offers my skills of Italian and English in exchange. I am a good company for a nice chat ;), like to meet new people, learn new cultures, make new friendships, love to speak about any topics.","I travel often for work and for pleasure, so I'm strongly motivated to practice my English and spanish and improve my beginner French, portuguese, and Russian. My favorite readings are on other cultures traditions, cultures, and languages. I offer my skills of Italian and English in exchange. I am a good company for a nice chat ;), I like to meet new people, learn new cultures, make new friendships, and love to speak about any topics.",Italian
611,"I looking for conversation exchange face to face, chat, or by whatsapp also many hours a day","I am looking for conversation exchange face to face, chat, or by whatsapp also many hours a day.",Italian
612,"Hi, I'm Chiara from Milan. I'd like to improve my English and French. I am very interested in learning about different cultures. I love travelling , reading and watching tv series . I exchange my Italian for English A presto!","Hi, I'm Chiara from Milan. I'd like to improve my English and French. I am very interested in learning about different cultures. I love traveling, reading, and watching TV series. I exchange my Italian for English A presto!",Italian
613,I work for an American company so I simply need to improve my english: it's always a headache when I take part to international phone calls or meetings. In exchange I can teach you Italian: the best language ever...in Italy. I would be available every day 30' between 8.30pm and 10.00pm or on Sat/Sun morning. Hope to schedule 1-2 video-chat per week.....Ciao,"I work for an American company, so I simply need to improve my English. It's always a headache when I take part in international phone calls or meetings. In exchange, I can teach you Italian, the best language ever...in Italy. I would be available every day between 8.30pm and 10.00pm or on Saturday/Sun morning. I hope to schedule 1-2 video chats per week.....Ciao",Italian
614,I’d like to keep practicing English and in the meantime I’ll help anyone with Italian.,"I’d like to keep practicing English, and in the meantime, I'll help anyone with Italian.",Italian
615,"I'm 28 years old girl, i LOVE languages and culture and there's no better than practice. I'd like to learn KOREAN and improve my english!! I would like to make a new friends and I hope to travel in Seoul next year! In return I'll help you with English or learning Italian!!!!","I'm a 28-year-old girl, I LOVE languages and culture, and there's no better than practice. I'd like to learn Korean and improve my English!! I would like to make new friends, and I hope to travel to Seoul next year! In return, I'll help you with English or learning Italian!!!!",Italian
616,"Hi, i'm here because i like foreign languages and i would like to learn as many as possible, even if i'm not particularly gifted in language learning. I'm native italian speaker!","Hi, I'm here because I like foreign languages and I would like to learn as many as possible, even if I'm not particularly gifted in language learning. I'm a native Italian speaker!",Italian
617,"I would like to improve my English level, if you want to pratice your Italian we can arrange a conversation.","I would like to improve my English language; if you want to practice your Italian, we can arrange a conversation.",Italian
618,"I am a student of Palermo (Italy) and I would like speaking with new people to improve my english. We can text on telegram, discord, whatsapp or what do you want. If I am wrong to write, correct me please. thanks bye","I am a student in Palermo (Italy), and I would like to speak with new people to improve my English. We can text on telegram, discord, whatsapp, or whatever you want. If I am wrong to write, correct me please. thanks bye",Italian
619,"Hii, i'm here mainly to improve and speak english
i'm currently studying at univerity engineering, but i'm very interested in a lot of different things that goes from Films to Tv series and sports
I live in italy, near Venice, so if you want to know something about it feel free to ask!","Hii, I'm here mainly to improve and speak English. I'm currently studying engineering at university, but I'm very interested in a lot of different things that go from films to TV series and sports. I live in Italy, near Venice, so if you want to know something about it, feel free to ask!",Italian
620,"I'm Italian and I live in Rome. I'm graduated in Oriental Languages​​, Chinese and Hindi, in addition to already know how to speak English and French. I am currently attending a Master about Chinese Business. I'd like to share my knowledge with other people. If you want to learn other languages and cultures, contact me! I'm available to give lessons of foreign languages and Italian for foreigners :)","I'm Italian, and I live in Rome. I graduated in Oriental Languages, Chinese, and Hindi, in addition to already knowing how to speak English and French. I am currently attending a Master's in Chinese Business. I'd like to share my knowledge with other people. If you want to learn other languages and cultures, contact me! I'm available to give lessons in foreign languages and Italian to foreigners :)",Italian
621,I am very happy to have the opportunity to exchange my italian knowledge and to learn something more about english language from someone in the world!,I am very happy to have the opportunity to exchange my Italian knowledge and to learn something more about the English language from someone in the world!,Italian
622,"Hello there!! I'm Daniele, and I used to live in Seattle for almost four years. I'd like to find someone for continuing to practice English language... Hit me up!","Hello there!! I'm Daniele, and I used to live in Seattle for almost four years. I'd like to find someone who is continuing to practice the English language... Hit me up!",Italian
623,"I love travelling, playing sport and reading. I would like to improve my english and I can teach Italian.","I love traveling, playing sport, and reading. I would like to improve my English, and I can teach Italian.",Italian
624,"I would like to help English speaking people practicing and improving their Italian and I also would like to improve my spoken English and comprehension, hopefully making new friends along the way!","I would like to help English speaking people practice and improve their Italian, and I also would like to improve my spoken English and comprehension, hopefully making new friends along the way!",Italian
625,My mother language is italian and i need to improve my german. have teached chemistry so i think i can teach italian well too.If someone is interested just contact me..ciao!!,"My mother tongue is Italian, and I need to improve my German. I have taught chemistry, so I think I can teach Italian well too. If someone is interested, just contact me..ciao!!",Italian
626,"Hi i would like to practising more the English language by talking, i am italian and i live in London for that reason, but the half of my collegue are italian and, in fact sometimes i talk more in Italian then English. So that's why i am here!","Hi, I would like to practice the English language more by talking. I am Italian, and I live in London for that reason, but half of my colleagues are Italian and, in fact, sometimes I talk more Italian than English. So that's why I am here!",Italian
627,Beautiful and good. This is me. I always believe in the goodness of human nature. This is my 39th year of teaching. I am an Italian teacher. I want to improve my English and to make it fluent. I would like teach abroad throughout the final years. Thank you to everyone who want to help me and who contacts me to learn Italian.,Beautiful and good. This is me. I always believe in the goodness of human nature. This is my 39th year of teaching. I am an Italian teacher. I want to improve my English and make it fluent. I would like to teach abroad throughout my final years. Thank you to everyone who wants to help me and who contacts me to learn Italian.,Italian
