,id,native,language,probabilities,english_only,text
972,1281.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999971167625751],True,"Hi, everyone, this is Chris from Italy. I'm looking for friends to practice my English and teach Italian. I hope to meet you soon. Ciao!"
973,1283.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999983961970345],True,I'm ltalian. I'm looking for somebody interested in Italian for language exchange. No matter if by messages and written instruments or face to face apps.
974,1284.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999961918076044],True,"Hello There! ( general Kenobi) I'm an italian girl who lives in Florence. I would love to help someone who needs to improve their Italian, I want to improve my english as well. So, what are you waiting for? Have a cup of tea, some bisquits and some lovely conversation with me :3"
975,1285.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999948492082062],True,"Hello everyone ; I am here to meet new people and improve my english language , especially use communication."
976,1286.0,Italian,"[{'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.7142836805840838, it:0.2857161000435682]",False,"Ciao. I'd love to improve English, Spanish and French which I studied at school and I've forgotten..a little. I live in Rome and I've a lot of interests. Sarò felice di aiutare chi vuole fare pratica di italiano. Vivo a Roma e ho molti interessi. Ciao"
977,1287.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999974637787744],True,Hello everyone! I am enthusiastic to share my native language background with you. Let's take a moment to have fun conversations ^_^
978,1288.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996145438321],True,I'm Giulia from Italy and I need to practice my English
979,1290.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Russian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999950972379206],True,"I love meeting new people, going out with my friends, listening to music, learning new languages and discovering new cultures."
980,1291.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Turkish', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999978334587649],True,Looking forward to travel the world
981,1292.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999967349123937],True,"I'm a open minded person, funny and kind with a lot of interest."
982,1293.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.9999962164551957],True,I’m Stefano and I live in Torino. I’m interested in speaking English and French. And I will correct your fault in Italian if you want.
983,1294.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.9999977832515058],True,Hi everyone! I'd like to improve my English and Japanese with native speakers. What are you waiting for? We can work together on your Italian. Conversation Exchange seems a great  opportunity to all of us. Write me soon! I'm a serious guy looking for new international friends In Milano.
984,1296.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999973711579966],True,"Hi, I am italian and I need to practise my english conversation. I have experience in teaching italian and I am patient and motivated."
985,1297.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999970148682272],True,"Ciao, I'm Andrea and I live near Venice. I would like to improve my English for travelling, communicate with other people and for my job. I need to practise it because I don't use English so often and I don't want to forget all my progress of these years. I would like to arrive at motherlanguage level, but I have to work hard for this. Obviously, I can help you with your Italian with chats for an half in Italian and the another one in English. Text me, if you want to practice too. Ciao!"
986,1298.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999965704682128],True,I want to improve my english and i want to speak fluently.
987,1299.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999960958605267],True,I would be happy to communicate with someone to practice speaking english. I love to travel and meet new people and cultures.
988,1300.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.9999944942068311],True,"Hi! I would like to meet something in Milan, weekly, to practice english or French conversation. I can help you to practice Italian of course!"
989,1302.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996521768722],True,"Hi there, this is Alberto from Italy. I'm interested in a language and cultural exchange with native English speakers (or fluent English speakers from other parts of the world). I hold a degree in Italian language and literature so I can definitely help you with your Italian. Feel free to PM me if interested :)"
990,1306.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999953459997393],True,Hi! I am Italian and I am living in London now. I would like to practise spoken English/Spanish and I would be happy to help someone with their Italian.
991,1307.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970292866048],True,"I am 26 italian girl looking for different and new way to talk in english. I really like different culteres, I like travelling and I really want to meet new people from all over the worl and find out their lifestyle."
992,1309.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999976107322808],True,Hi i'm 52 y.o. italian manager and I would like to meet someone with whom i could exchange english-italian face to face or by chat. I would meet someone with similar interestes ciao francesco
993,1310.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999965395249598],True,"hello, I'm student who will start studying biomedical engineering at Milano the next year and I want to improve my English skills to know other countries and cultures. I would also form a new friendship with someone around my age that can last for many years and maybe a day I could visiy your country. I can teach you some italian."
994,1313.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Icelandic', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Danish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Finnish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Norwegian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Swedish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999944423191927],True,"Hi, I'm Alessia. I am looking for someone who would like to help me learn to converse in english well. In exchange, I can teach Italian. I'm interested in making friends as well but remember, we are strangers at first, and I am female. If our correspondence is polite, positive, diplomatic and respectful, we might be a good match! If you don't want it to be, don't write to me!"
997,1316.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999965431610821],True,I’m a very open minded person and I can talk about everything; I’d like to practice english and spanish to be more fluent in the speaking and to improve grammar.
998,1318.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.9999971967322954],True,"Hey, it’s me, Ferdi! I am an Italian student and I hope I can find someone to ameliorate my English. I wouldn't mind if I could also help some poor, miserable soul with the Italian language. Oh, and improve my French!"
999,1319.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese (Cantonese)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999977138164527],True,"I am looking for someone to have conversations sharing language and culture, and new friends. I like sports, gym, walk, travel. Write me if you are looking for the same things."
1000,1322.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999978091110293],True,"I like learn new language, culture and people all around the world. I'm here to make new friends and practice my language skills"
1001,1323.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999994772550122],True,I'm here because I would like to improve my spoken english.
1002,1324.0,Italian,"[{'language': 'Croatian', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'Russian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.9999988180570774],True,"Hi all! I'm Sara and I would like to improve my Croatian by training it on a daily basis. I used to live in Croatia but I'm afraid I will forget everything I learned! I am willing to teach you Italian in exchange, feel free to contact me (:"
1003,1325.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999969690420432],True,Hello everyone. I am Mirko an Italian guy from Rome:) I'd like learn French even though I am completely beginner lol ahahah So please be patient:) In exchange I would love help you with your Italian. Feel free to contact me ☺️ Have a good one
1004,1327.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","[en:0.714283753927627, es:0.28571591325485846]",False,"I love travelling and meeting people from different countries and cultures. I also read books on Asiatic philosophies and self-growth. I'm a volunteer of the Red Cross. Don't be afraid, feel free to contact me! Me gusta viajar y encontrar a personas de paises y culturas diferentes. Me gusta también leer libros de filosofia asiatica y de auto-mejoramiento. Soy voluntario de la Cruz Roja. No tengas miedo, siéntete libre de contactarme."
1005,1329.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999974163384493],True,"i'm an italian girl and i really would love to practice english with some english native speaker,plus i'm really happy to help others learning my first language (ita)"
1006,1330.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996493750239],True,"Appassionato di inglese, I’d like to make new friendships all over the world and learn new languages. Mi piacerebbe incontrare gente dal vivo"
1007,1332.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999981972705783],True,"Vivo a Roma, ma appena posso viaggio altrove. I live in Rome and I travel whenever I can, not only for business:-) I’m a lawyer"
1008,1337.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Russian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999974432707729],True,"hello ~ i’m giada, from italy! currently studying english and russian literature at university! i’ve always been interested in learning new languages and all the stuffs related to other countries and maybe this could be the right place to improve and practice my (poor) skills, AND the most important thing -&gt; making new friends online! p e e k a b o o - we can discuss about everything you want, i /unfortunately/ have a lot of interests! if you want an hand with italian language, i'm here!"
1009,1339.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999989710158506],True,"Hello, I'm Andreas, i'm 30 years old, i come from Italy, I will be in dublin for all month of August, i would like to improve my English,through face to face conversation,I think is the best way to improve it, in return I offer my Italian mother tongue,I can send pictures and I can meet in person to talk, and present, right for a first impact, so deciding if we can do a tandem together (English to Italian) friendly greetings Andreas."
1010,1342.0,Italian,"[{'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]",[en:0.9999968850837292],True,"Philosophy, Art, Music, Writing"
1011,1343.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.99999754197508],True,"Hi everyone. I'm looking for someone to practice my English face to face . I'm open minded with many interests, I like practice sport and meet new people."
1012,1345.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999995573386444],True,"I'm a friendly and kind girl from Italy. I love travel the world for know other cultures. I'm a sport addicted, I practice Crossfit. I work in the cosmetic world, so I really like beauty and wellness. I want to practice my english for my job, for increase my job opportunities and meet people from all planet."
1013,1346.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999954004853591],True,"Hi, I've learned english years ago at school and I would really like to improve my conversation skills with this exchange, cause in my everyday life I don't have many opportunities to speak and listen english (and when that happens I find it a little difficult...). If someone is learning italian and wants to do the same with my language I'll be very happy to spare some time"
1014,1347.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999968562283381],True,"Good morning, I would like to improve my language and at the beging I would to try write with a english pen-pal and next if it's possible to face to face on line. In change I am available teaching Italian. Thans Tony"
1015,1350.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'Chinese (Mandarin)', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.9999988293641002],True,"Hi guys! :) I want to improve my english,spanish and chinese. I hope to make new friends here to help each other with languages :)"
1017,1355.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999966801721716],True,"Hi! I'm Lia from Italy. Sometimes people say that I'm a cold person but I just don't like to speak about myself first. Once we have broke the ice, I'm kinda of loud, active and very friendly. I'm here to improve my English but if I can help to learn Italian or have a chat, let me know! Don't be shy, free to contact me!"
1018,1356.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.9999972541356102],True,"Uuuuh a description of myself. I don't know, I'm lost inside and I'd like to improve my languages skills. I perceive it as my only objective. I'm not interesting as person but I like talking"
1019,1357.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999969825191513],True,"Ciao, I'm italian, from the south. I love helping english people with learning italian, in exchange I'd like to improve my english. We can talk about everything. I am very committed to teaching italian, preparing helpful notes. We can use texts, songs, video to make our convresations enjoyable. So let me know if you want to really learn italian ! Ti aspetto per insegnarti l'italiano A presto : )"
1020,1358.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.9999955988077315],True,I am here to improve my English. Contact me if interested in a language exchange.
1021,1359.0,Italian,"[{'language': 'Finnish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Spanish', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999961760433014],True,"Hello everyone! I am an Italian spending a year here in Finland involved in a volunteering project. I'm fascinated by this country's culture and nature, and I'm now striving to learn the language in order to integrate thoroughly and stop using English as a means of communication with native people! I'm currently looking for someone who could help me in this process, and in return, I am willing to give opportunities to practice Italian, Spanish, and/or English! Kiitos!"
1022,1360.0,Italian,"[{'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999949684630567],True,"Hello! I'm an Italian student of languages at University. I'm looking for someone to practice Spanish, but I also study English and French! :)"
1023,1361.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999997732291334],True,"Hi, I'm Italian and I'd like to practice my English for travelling and meeting/chatting with people of other countries. I'm happy to help with your Italian. See you soon ;)"
1024,1362.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999971348960383],True,"Hi, I am an Italian girl and I would like to find someone to have a conversation with to improve my English level."
1025,1363.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999978569811402],True,"Hi, I'm Laura, from Italy. I've moved to Toronto and I'm studying graphic design but I feel I need more english practice, in particular conversational english. If you want to learn something about Italy and italian language I'm available to teach it to you :) Let me know! Cheers, Laura"
1026,1364.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999977515289531],True,I want to pratiche my english ti improve in the real language use and to have advices abaoi how to do It from native speaker. I would like to help the others with learning of italian language too
1027,1365.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999966616325742],True,"At the moment I have been retired for three years and previously worked as a teacher of painting disciplines in an art school in Italy.When I was in service as teacher I used to have partnership with different school in europe, so I have given to my students several opportunity to relate with different reality, and consequently I had numerous occasion to use my english knowing. Now I have decided to take the opportunity to relate by people spoken english whom needs to improve their Italian. @"
1028,1366.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999973035297458],True,I'd like to improve English conversation for working purpose. I like the idea to learn and teach at the same time.
1029,1367.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999964344494117],True,"I'm here because I would like to learn to speak english fluently. In return I'm extremely available to teach my language, italian. Don't hesitate to contact me"
1030,1369.0,Spanish<br/>Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996500971148],True,"Hello everyone, I'm italian but I live in Ireland. I would like to improve my English. I can teach you some Italian (or Spanish) with fun and enthusiam. Female ONLY."
1031,1372.0,Italian,"[{'language': 'Arabic', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'French', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'German', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999971471962762],True,I like learning languages. I would really like to help anybody to learn italian and french that I am learning in the University. Right now I am trying to improve arabic and french. I also like discovering new cultures.
1032,1373.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999955662346597],True,I need to improve my English because some important changes in my job request me to better approach conversation in English language. And also because I need to better understand movies and tv series in the original language.
1033,1374.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999947404115077],True,Just curious. Just willing to test my Englis. Just interested in meeting new people over the world.
1034,1375.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999977217463606],True,"I would like to find somebody with whom I could practice English. In change, I can help you with your Italian :)"
1036,1377.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]",[en:0.9999974730968956],True,"Hi everybody hope share nice practice languages times with easygoing people, let's improve it :-)"
1037,1380.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.9999978581269239],True,"Hello, I'm Fabio Italian native speaker, I want to improve my English. In return I offer you not only the help to learn or improve your Italian but also a path of personal growth! Are you ready for this?"
1038,1381.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999979949099029],True,"Hi, I'm Federica, I'm a lawyer and I come from Italy. I'd love to help you improve your Italian language skills and I'd be glad if you could do the same for me, with English. I'm looking for native speakers, thank you!"
1039,1383.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999962548661112],True,"Hi, I am an Italian native speaker. I'm studying english and spanish and I still struggle speaking and listening to a native speaker. In exchange I will be happy to teach you italian. If you are looking for a very patient friend to talk and you can offer the same please get in touch!!"
1040,1388.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.99999664958145],True,I'm Paola I'm Italian and I'd like to improve my knowledge of the English language. In exchange I can help to improve Italian language.
1041,1389.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999950444818582],True,"HI! I'm 46 years old from a little village 8 km north of Verona. I'd like to have some interesting conversation in english, so to improve my low level... and trying to give an help to imprrove others' italian level... Have a great day! Bye"
1042,1390.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999998189377844],True,"Hello, I would like to improve my english level through conversation . I need practice language to unlock me and get started speak more easily. I'm starting a new job where every day is necessary speak with colleagues not mother tongue but its required me a greater capacity for dialogue. I hope Im in the right place !!! thanks"
1043,1394.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999977531891932],True,"Hi there, I'm an Italian student of Foreign Languages and Literatures. I'd like to improve my skills in English - and I would teach you my native language, Italian. I love talking about many interests which comprehend literature, books and history first of all, but also Opera, movies, travelling, music. I ideally share a conversation with someone willing to talk about these given topics. I've been studying German recently, but I know only a bunch of words, at the moment."
1044,1395.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999977601583996],True,"I'm a tennis teacher and I love travel, cooking, read. I'm finding a people want to speak and nothing else. Thank you for respect my time, My goal is improve my english."
1045,1396.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999980788437237],True,"Hey I want to practice my English because I always get nervous when I have to speak, it’s like I forget all the words that I know"
1046,1397.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999969149786668],True,"Hallo! I'm Simona. I want to improve my English. I'm able to read English book, but I have difficulty to speak and write correctly. Can you help me? I can help you with Italian!!! I can use WhatsApp for our conversations!"
1047,1398.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999958650462052],True,Hi! I would like to improve my English. In exchange I can help you with Italian.
1048,1400.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999997334479012],True,I would like to improve my English and help someone to learn Italian very well!
1049,1401.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999995148723789],True,"Hello everyone! I'm a 46yo italian native speaker and currently live in London. I'd really like to improve my english because I need it to find a more interesting job and to increase my conversation skills. I like to meet new people face to face, maybe drinking a glass of wine and I have many interests like music, dance, art &amp; crafts, reading, walking and many others. I definitely can help you exchanging my italian which is at a very high level as I know my first language very deeply."
1050,1402.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999963873006837],True,"Hello everyone, I'm a CS uni student who is currently trying to improve his english."
1051,1405.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999972705990754],True,I'd like to improve my english.
1052,1406.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Chinese (Mandarin)', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.999994633783705],True,"I live in padua and i work as researcher at the university of Venice. I want to train my language knowledge above all of English, French, Spanish and Portuguese."
1053,1410.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999949980536983],True,Hi i'd like to have conversation about daily problems we face
1054,1412.0,Italian,"[{'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999969631708187],True,"Hi! I'm Damiano and I'd like to learn German, Spanish and improve English if someone can help me! I really like studying foreign languages. I also can help you to improve your Italian."
1055,1413.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999971984633779],True,"Hi, I'm interested in improving my English through conversation. I will be happy to return the favor by telling about the beauties of my land, Italy, Salento in particular."
1056,1414.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999961489569926],True,I'd like to practice English since I use it for my job (I am a researcher). I am native speaking Italian and I'd be happy to help who wants to learn it
1057,1416.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999964841367874],True,"I’m Cecilia, 33 years old, I’m a working mom of two kids."
1058,1417.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","[en:0.7142824806751387, it:0.2857157374642075]",False,"Desidero migliorare e perfezionare le lingue che conosco sia per non ""dimenticarle"" sia per il lavoro dove le uso quotidianamente. Sono madrelingua italiana pertanto sono disponibile ad insegnare :) I wish to improve foreign languages that I know to avoid to forget them and also because I use them every day at work. I'm native Italian and I'm available to teach my language."
1059,1418.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999945641552587],True,"Hello everybody, I would like to talk to people who want to practice English, my level is intermediate. And If you like I can help you learning Italian, of course!"
1060,1421.0,Spanish<br/>Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999963766343642],True,"Hello, i would like to practise english (with women), Thanks"
1061,1422.0,Italian,"[{'language': 'Spanish', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'German', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999959412566347],True,"Hi! I am Italian, from Rome, and I moved to Vienna in September 2018. I studied foreign languages at the university in Italy and I'm working in Vienna. I would like to meet new people and to improve my German. I can speak English and Spanish, too"
1064,1426.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999955856206901],True,"Ciao, mi chiamo Jessica! ☀️ I recently finished University and I started working. I want improve my english and help people to learn italian language!"
